A♣2♣3♣    !
A♣2♣4♣    !!
A♣2♣5♣    """"
A♣2♣6♣    #
A♣2♣A♦    ##
A♣2♣2♦    $
A♣2♣3♦    $$
A♣2♣4♦    %
A♣2♣5♦    %%
A♣2♣6♦    &
A♣2♣A♥    (
A♣2♣2♥    ()
A♣2♣3♥    (c)
A♣2♣4♥    (r)
A♣2♣5♥    (tm)
A♣2♣6♥    )
A♣2♣A♠    *
A♣2♣2♠    **
A♣2♣3♠    +
2♣A♣2♦    abrupt
2♣A♣3♦    abs
2♣A♣4♦    absent
2♣A♣5♦    absorb
2♣A♣6♦    absurd
2♣A♣A♥    abuse
2♣A♣2♥    abut
2♣A♣3♥    abysmal
2♣A♣4♥    abyss
2♣A♣5♥    ac
2♣A♣6♥    ac/dc
2♣A♣A♠    academy
2♣A♣2♠    accept
2♣A♣3♠    access
2♣A♣4♠    accuse
2♣A♣5♠    ace
2♣A♣6♠    aces
2♣3♣A♣    ache
2♣3♣4♣    ached
2♣3♣5♣    aches
2♣3♣6♣    achoo
2♣3♣A♦    achy
2♣3♣2♦    acid
2♣3♣3♦    acidic
2♣3♣4♦    acids
2♣3♣5♦    acme
2♣3♣6♦    acne
2♣3♣A♥    acorn
2♣3♣2♥    acorns
2♣3♣3♥    acquit
2♣3♣4♥    acre
2♣3♣5♥    acres
2♣3♣6♥    acrid
2♣3♣A♠    acrobat
2♣3♣2♠    act
2♣3♣3♠    acted
2♣3♣4♠    acting
2♣3♣5♠    action
2♣3♣6♠    actions
2♣4♣A♣    active
2♣4♣3♣    actor
2♣4♣5♣    actors
2♣4♣6♣    actress
2♣4♣A♦    acts
2♣4♣2♦    acute
2♣4♣3♦    ad
2♣4♣4♦    ada
2♣4♣5♦    adage
2♣4♣6♦    adages
2♣4♣A♥    adagio
2♣4♣2♥    adair
2♣4♣3♥    adam
2♣4♣4♥    adams
2♣4♣5♥    adapt
2♣4♣6♥    adapted
2♣4♣A♠    add
2♣4♣2♠    added
2♣4♣3♠    adder
2♣4♣4♠    addict
2♣4♣5♠    addicts
2♣4♣6♠    addle
2♣5♣A♣    address
2♣5♣3♣    adds
2♣5♣4♣    adele
2♣5♣6♣    adept
2♣5♣A♦    adieu
2♣5♣2♦    adios
2♣5♣3♦    adjust
2♣5♣4♦    adler
2♣5♣5♦    admin
2♣5♣6♦    admiral
2♣5♣A♥    admired
2♣5♣2♥    admirer
2♣5♣3♥    admit
2♣5♣4♥    ado
2♣5♣5♥    adobe
2♣5♣6♥    adolf
2♣5♣A♠    adonis
2♣5♣2♠    adopt
2♣5♣3♠    adopted
2♣5♣4♠    adore
2♣5♣5♠    adorn
2♣5♣6♠    ads
2♣6♣A♣    adult
2♣6♣3♣    adults
2♣6♣4♣    advent
2♣6♣5♣    adverb
2♣6♣A♦    advise
2♣6♣2♦    advisor
2♣6♣3♦    ae
2♣6♣4♦    aeiou
2♣6♣5♦    aerial
2♣6♣6♦    aesop
2♣6♣A♥    af
2♣6♣2♥    afar
2♣6♣3♥    affair
2♣6♣4♥    affairs
2♣6♣5♥    affix
2♣6♣6♥    afghan
2♣6♣A♠    afire
2♣6♣2♠    afoot
2♣6♣3♠    afraid
2♣6♣4♠    africa
2♣6♣5♠    afro
2♣6♣6♠    aft
2♣A♦A♣    after
2♣A♦3♣    ag
2♣A♦4♣    again
2♣A♦5♣    agate
2♣A♦6♣    agates
2♣A♦2♦    age
2♣A♦3♦    aged
2♣A♦4♦    ageless
2♣A♦5♦    agency
2♣A♦6♦    agenda
2♣A♦A♥    agendas
2♣A♦2♥    agent
2♣A♦3♥    agents
2♣A♦4♥    ages
2♣A♦5♥    agile
2♣A♦6♥    aging
2♣A♦A♠    aglow
2♣A♦2♠    agnes
2♣A♦3♠    agnew
2♣A♦4♠    ago
2♣A♦5♠    agony
2♣A♦6♠    agree
2♣2♦A♣    ah
2♣2♦3♣    aha
2♣2♦4♣    ahab
2♣2♦5♣    ahead
2♣2♦6♣    ahem
2♣2♦A♦    ahmed
2♣2♦3♦    ahoy
2♣2♦4♦    ai
2♣2♦5♦    aid
2♣2♦6♦    aide
2♣2♦A♥    aided
2♣2♦2♥    aids
2♣2♦3♥    ail
2♣2♦4♥    aim
2♣2♦5♥    aimed
2♣2♦6♥    aims
2♣2♦A♠    ain't
2♣2♦2♠    air
2♣2♦3♠    airbag
2♣2♦4♠    airline
2♣2♦5♠    airman
2♣2♦6♠    airport
2♣3♦A♣    airway
2♣3♦3♣    airy
2♣3♦4♣    aisle
2♣3♦5♣    aisles
2♣3♦6♣    aj
2♣3♦A♦    ajar
2♣3♦2♦    ajax
2♣3♦4♦    ak
2♣3♦5♦    aka
2♣3♦6♦    akers
2♣3♦A♥    akin
2♣3♦2♥    akqj
2♣3♦3♥    akron
2♣3♦4♥    al
2♣3♦5♥    alan
2♣3♦6♥    alarm
2♣3♦A♠    alarmed
2♣3♦2♠    alarms
2♣3♦3♠    alas
2♣3♦4♠    alaska
2♣3♦5♠    album
2♣3♦6♠    albums
2♣4♦A♣    alcohol
2♣4♦3♣    alcove
2♣4♦4♣    alcoves
2♣4♦5♣    alden
2♣4♦6♣    ale
2♣4♦A♦    alec
2♣4♦2♦    aleck
2♣4♦3♦    alert
2♣4♦5♦    alerts
2♣4♦6♦    ales
2♣4♦A♥    alex
2♣4♦2♥    alexa
2♣4♦3♥    alexei
2♣4♦4♥    alfalfa
2♣4♦5♥    algae
2♣4♦6♥    alger
2♣4♦A♠    ali
2♣4♦2♠    alias
2♣4♦3♠    alibi
2♣4♦4♠    alice
2♣4♦5♠    alien
2♣4♦6♠    aliens
2♣5♦A♣    alight
2♣5♦3♣    align
2♣5♦4♣    alike
2♣5♦5♣    aliment
2♣5♦6♣    alive
2♣5♦A♦    alkali
2♣5♦2♦    all
2♣5♦3♦    allah
2♣5♦4♦    allan
2♣5♦6♦    allen
2♣5♦A♥    alley
2♣5♦2♥    allied
2♣5♦3♥    allot
2♣5♦4♥    allow
2♣5♦5♥    alloy
2♣5♦6♥    allure
2♣5♦A♠    ally
2♣5♦2♠    alma
2♣5♦3♠    almanac
2♣5♦4♠    almond
2♣5♦5♠    almonds
2♣5♦6♠    almost
2♣6♦A♣    alms
2♣6♦3♣    aloe
2♣6♦4♣    aloft
2♣6♦5♣    aloha
2♣6♦6♣    alone
2♣6♦A♦    along
2♣6♦2♦    aloof
2♣6♦3♦    aloud
2♣6♦4♦    alp
2♣6♦5♦    alpaca
2♣6♦A♥    alpacas
2♣6♦2♥    alpha
2♣6♦3♥    alpine
2♣6♦4♥    alps
2♣6♦5♥    alright
2♣6♦6♥    also
2♣6♦A♠    alsop
2♣6♦2♠    altar
2♣6♦3♠    altars
2♣6♦4♠    alter
2♣6♦5♠    altho
2♣6♦6♠    alto
2♣A♥A♣    alum
2♣A♥3♣    alumni
2♣A♥4♣    alvin
2♣A♥5♣    alyx
2♣A♥6♣    am
2♣A♥A♦    am/fm
2♣A♥2♦    amass
2♣A♥3♦    amateur
2♣A♥4♦    amaze
2♣A♥5♦    amazing
2♣A♥6♦    amber
2♣A♥2♥    amble
2♣A♥3♥    ambush
2♣A♥4♥    amen
2♣A♥5♥    amend
2♣A♥6♥    ames
2♣A♥A♠    amiable
2♣A♥2♠    amid
2♣A♥3♠    amigo
2♣A♥4♠    amino
2♣A♥5♠    amish
2♣A♥6♠    amiss
2♣2♥A♣    amity
2♣2♥3♣    ammo
2♣2♥4♣    amok
2♣2♥5♣    among
2♣2♥6♣    amos
2♣2♥A♦    amour
2♣2♥2♦    amp
2♣2♥3♦    ampere
2♣2♥4♦    ample
2♣2♥5♦    amply
2♣2♥6♦    amps
2♣2♥A♥    amputee
2♣2♥3♥    amulet
2♣2♥4♥    amulets
2♣2♥5♥    amuse
2♣2♥6♥    amused
2♣2♥A♠    amusing
2♣2♥2♠    amy
2♣2♥3♠    an
2♣2♥4♠    anal
2♣2♥5♠    analyst
2♣2♥6♠    anatomy
2♣3♥A♣    anchor
2♣3♥3♣    anchors
2♣3♥4♣    anchovy
2♣3♥5♣    ancient
2♣3♥6♣    and
2♣3♥A♦    andes
2♣3♥2♦    andre
2♣3♥3♦    andrew
2♣3♥4♦    android
2♣3♥5♦    andy
2♣3♥6♦    anemic
2♣3♥A♥    anew
2♣3♥2♥    angel
2♣3♥4♥    angelic
2♣3♥5♥    angelo
2♣3♥6♥    angels
2♣3♥A♠    anger
2♣3♥2♠    angie
2♣3♥3♠    angle
2♣3♥4♠    angled
2♣3♥5♠    angler
2♣3♥6♠    anglers
2♣4♥A♣    angles
2♣4♥3♣    anglo
2♣4♥4♣    angry
2♣4♥5♣    angst
2♣4♥6♣    angular
2♣4♥A♦    angus
2♣4♥2♦    animal
2♣4♥3♦    animals
2♣4♥4♦    anime
2♣4♥5♦    anise
2♣4♥6♦    anita
2♣4♥A♥    ankle
2♣4♥2♥    ankles
2♣4♥3♥    anklet
2♣4♥5♥    ann
2♣4♥6♥    anna
2♣4♥A♠    anne
2♣4♥2♠    annex
2♣4♥3♠    annie
2♣4♥4♠    annoy
2♣4♥5♠    annul
2♣4♥6♠    anon
2♣5♥A♣    answer
2♣5♥3♣    answers
2♣5♥4♣    ant
2♣5♥5♣    antacid
2♣5♥6♣    ante
2♣5♥A♦    antenna
2♣5♥2♦    anthem
2♣5♥3♦    anthems
2♣5♥4♦    anthill
2♣5♥5♦    anthrax
2♣5♥6♦    anti
2♣5♥A♥    antic
2♣5♥2♥    antique
2♣5♥3♥    antler
2♣5♥4♥    antlers
2♣5♥6♥    anton
2♣5♥A♠    ants
2♣5♥2♠    antsy
2♣5♥3♠    anus
2♣5♥4♠    anvil
2♣5♥5♠    anvils
2♣5♥6♠    anxiety
2♣6♥A♣    anxious
2♣6♥3♣    any
2♣6♥4♣    anyhow
2♣6♥5♣    anyway
2♣6♥6♣    ao
2♣6♥A♦    aok
2♣6♥2♦    aorta
2♣6♥3♦    ap
2♣6♥4♦    apache
2♣6♥5♦    apart
2♣6♥6♦    apathy
2♣6♥A♥    ape
2♣6♥2♥    apes
2♣6♥3♥    apex
2♣6♥4♥    aphid
2♣6♥5♥    aphids
2♣6♥A♠    aplomb
2♣6♥2♠    apology
2♣6♥3♠    apostle
2♣6♥4♠    app
2♣6♥5♠    appeal
2♣6♥6♠    appear
2♣A♠A♣    append
2♣A♠3♣    apple
2♣A♠4♣    apples
2♣A♠5♣    apply
2♣A♠6♣    apr
2♣A♠A♦    apricot
2♣A♠2♦    april
2♣A♠3♦    apron
2♣A♠4♦    aprons
2♣A♠5♦    apt
2♣A♠6♦    aq
2♣A♠A♥    aqua
2♣A♠2♥    aquatic
2♣A♠3♥    ar
2♣A♠4♥    arab
2♣A♠5♥    arabs
2♣A♠6♥    araby
2♣A♠2♠    arbor
2♣A♠3♠    arbors
2♣A♠4♠    arc
2♣A♠5♠    arcade
2♣A♠6♠    arcades
2♣2♠A♣    arcane
2♣2♠3♣    arch
2♣2♠4♣    archaic
2♣2♠5♣    archer
2♣2♠6♣    archers
2♣2♠A♦    archery
2♣2♠2♦    arches
2♣2♠3♦    archive
2♣2♠4♦    arcs
2♣2♠5♦    arctic
2♣2♠6♦    ardent
2♣2♠A♥    are
2♣2♠2♥    area
2♣2♠3♥    areas
2♣2♠4♥    arena
2♣2♠5♥    arenas
2♣2♠6♥    argon
2♣2♠A♠    argue
2♣2♠3♠    aria
2♣2♠4♠    arid
2♣2♠5♠    arise
2♣2♠6♠    ark
2♣3♠A♣    arks
2♣3♠3♣    arlene
2♣3♠4♣    arm
2♣3♠5♣    armband
2♣3♠6♣    armed
2♣3♠A♦    armful
2♣3♠2♦    armies
2♣3♠3♦    armless
2♣3♠4♦    armoire
2♣3♠5♦    armor
2♣3♠6♦    armored
2♣3♠A♥    armory
2♣3♠2♥    armpit
2♣3♠3♥    armpits
2♣3♠4♥    armrest
2♣3♠5♥    arms
2♣3♠6♥    army
2♣3♠A♠    arnold
2♣3♠2♠    aroma
2♣3♠4♠    arose
2♣3♠5♠    array
2♣3♠6♠    arrays
2♣4♠A♣    arrival
2♣4♠3♣    arrive
2♣4♠4♣    arrow
2♣4♠5♣    arrows
2♣4♠6♣    arsenal
2♣4♠A♦    arson
2♣4♠2♦    art
2♣4♠3♦    artery
2♣4♠4♦    arthur
2♣4♠5♦    article
2♣4♠6♦    artie
2♣4♠A♥    artisan
2♣4♠2♥    artist
2♣4♠3♥    arts
2♣4♠4♥    artsy
2♣4♠5♥    artwork
2♣4♠6♥    arty
2♣4♠A♠    aryan
2♣4♠2♠    as
2♣4♠3♠    asap
2♣4♠5♠    ascend
2♣4♠6♠    ascii
2♣5♠A♣    ash
2♣5♠3♣    ashamed
2♣5♠4♣    ashen
2♣5♠5♣    ashes
2♣5♠6♣    ashley
2♣5♠A♦    ashy
2♣5♠2♦    asia
2♣5♠3♦    asian
2♣5♠4♦    aside
2♣5♠5♦    ask
2♣5♠6♦    asked
